Type,Life,Year,Depreciation Amount,Depreciation Net Amount,Asset Value
Straight Line,3,start,0,0,"1,000.00"
Straight Line,3,1,300,300,700
Straight Line,3,2,300,600,400
Straight Line,3,3,300,900,100
Declining Balance,3,start,0,0,"1,000.00"
Declining Balance,3,1,536,536,464
Declining Balance,3,2,248.7,784.7,215.3
Declining Balance,3,3,115.4,900.1,99.9
Double Declining Balance,3,start,0,0,"1,000.00"
Double Declining Balance,3,1,666.67,666.67,333.33
Double Declining Balance,3,2,222.22,888.89,111.11
Double Declining Balance,3,3,11.11,900,100
Sum-of-Year's-Digits,3,start,0,0,"1,000.00"
Sum-of-Year's-Digits,3,1,450,450,550
Sum-of-Year's-Digits,3,2,300,750,250
Sum-of-Year's-Digits,3,3,150,900,100
Straight Line,5,start,0,0,"1,000.00"
Straight Line,5,1,180,180,820
Straight Line,5,2,180,360,640
Straight Line,5,3,180,540,460
Straight Line,5,4,180,720,280
Straight Line,5,5,180,900,100
Declining Balance,5,start,0,0,"1,000.00"
Declining Balance,5,1,369,369,631
Declining Balance,5,2,232.84,601.84,398.16
Declining Balance,5,3,146.92,748.76,251.24
Declining Balance,5,4,92.71,841.47,158.53
Declining Balance,5,5,58.5,899.97,100.03
Double Declining Balance,5,start,0,0,"1,000.00"
Double Declining Balance,5,1,400,400,600
Double Declining Balance,5,2,240,640,360
Double Declining Balance,5,3,144,784,216
Double Declining Balance,5,4,86.4,870.4,129.6
Double Declining Balance,5,5,29.6,900,100
Sum-of-Year's-Digits,5,start,0,0,"1,000.00"
Sum-of-Year's-Digits,5,1,300,300,700
Sum-of-Year's-Digits,5,2,240,540,460
Sum-of-Year's-Digits,5,3,180,720,280
Sum-of-Year's-Digits,5,4,120,840,160
Sum-of-Year's-Digits,5,5,60,900,100
Straight Line,10,start,0,0,"1,000.00"
Straight Line,10,1,90,90,910
Straight Line,10,2,90,180,820.00
Straight Line,10,3,90,270,730
Straight Line,10,4,90,360,640
Straight Line,10,5,90,450,550
Straight Line,10,6,90,540,460
Straight Line,10,7,90,630,370
Straight Line,10,8,90,720,280
Straight Line,10,9,90,810,190
Straight Line,10,10,90,900,100
Declining Balance,10,start,0,0,"1,000.00"
Declining Balance,10,1,206,206,794
Declining Balance,10,2,163.56,369.56,630.44
Declining Balance,10,3,129.87,499.43,500.57
Declining Balance,10,4,103.12,602.55,397.45
Declining Balance,10,5,81.87,684.43,315.57
Declining Balance,10,6,65.01,749.43,250.57
Declining Balance,10,7,51.62,801.05,198.95
Declining Balance,10,8,40.98,842.03,157.97
Declining Balance,10,9,32.54,874.57,125.43
Declining Balance,10,10,25.84,900.41,99.59
Double Declining Balance,10,start,0,0,"1,000.00"
Double Declining Balance,10,1,200,200,800
Double Declining Balance,10,2,160,360,640
Double Declining Balance,10,3,128,488,512.00
Double Declining Balance,10,4,102.4,590.4,409.6
Double Declining Balance,10,5,81.92,672.32,327.68
Double Declining Balance,10,6,65.54,737.86,262.14
Double Declining Balance,10,7,52.43,790.28,209.72
Double Declining Balance,10,8,41.94,832.23,167.77
Double Declining Balance,10,9,33.55,865.78,134.22
Double Declining Balance,10,10,26.84,892.63,107.37
Sum-of-Year's-Digits,10,start,0,0,"1,000.00"
Sum-of-Year's-Digits,10,1,163.64,163.64,836.36
Sum-of-Year's-Digits,10,2,147.27,310.91,689.09
Sum-of-Year's-Digits,10,3,130.91,441.82,558.18
Sum-of-Year's-Digits,10,4,114.55,556.36,443.64
Sum-of-Year's-Digits,10,5,98.18,654.55,345.45
Sum-of-Year's-Digits,10,6,81.82,736.36,263.64
Sum-of-Year's-Digits,10,7,65.45,801.82,198.18
Sum-of-Year's-Digits,10,8,49.09,850.91,149.09
Sum-of-Year's-Digits,10,9,32.73,883.64,116.36
Sum-of-Year's-Digits,10,10,16.36,900,100
